Product Name,Price,Unit,Quantity,Category,Description,Image
Apple,52,kg,100,Fruits,Fresh red apples,https://images.pexels.com/photos/206959/pexels-photo-206959.jpeg?cs=srgb&dl=pexels-pixabay-206959.jpg&fm=jpg
Banana,35,kg,150,Fruits,Yellow bananas,
Bread,60,piece,50,Bakery,White bread loaf,
Milk,90,liter,75,Dairy,Whole milk 1 liter,
Eggs,65,dozen,200,Dairy,Dozen large eggs,
Chicken Breast,180,kg,30,Meat,Organic chicken breast,
Rice,110,kg,80,Grains,Long grain white rice,
Pasta,45,pack,60,Grains,Spaghetti pasta,
Tomato,60,kg,90,Vegetables,Fresh tomatoes,
Lettuce,55,piece,40,Vegetables,Romaine lettuce,
